bucket	open	high	low	close	volume	count
2023-04-17T09:00:00+05:30	1155.7	1155.7	1119.65	1123.6	6306810	45
2023-04-17T10:00:00+05:30	1123.7	1129.55	1123.0	1127.3	1705426	60
2023-04-17T11:00:00+05:30	1127.3	1130.7	1125.75	1129.55	1519938	60
2023-04-17T12:00:00+05:30	1129.7	1131.9	1128.1	1130.1	1141672	60
2023-04-17T13:00:00+05:30	1130.1	1130.5	1125.7	1128.25	1960718	60
2023-04-17T14:00:00+05:30	1128.2	1128.55	1125.45	1125.9	1153792	60
2023-04-17T15:00:00+05:30	1127.0	1129.6	1126.2	1128.3	1782384	30
2023-04-18T09:00:00+05:30	1132.9	1132.9	1113.3	1116.6	2202242	45
2023-04-18T10:00:00+05:30	1116.6	1116.65	1108.7	1113.6	1805314	60
2023-04-18T11:00:00+05:30	1113.55	1114.05	1109.6	1111.6	661372	60
2023-04-18T12:00:00+05:30	1111.6	1116.2	1111.3	1116.1	2029428	60
2023-04-18T13:00:00+05:30	1116.2	1116.6	1110.0	1112.85	882384	60
2023-04-18T14:00:00+05:30	1112.85	1114.35	1111.6	1113.3	815902	60
2023-04-18T15:00:00+05:30	1113.3	1116.1	1113.3	1115.45	1440338	30
2023-04-19T09:00:00+05:30	1114.8	1120.5	1111.5	1118.15	2653038	45
2023-04-19T10:00:00+05:30	1118.35	1120.45	1115.6	1119.45	1312774	60
2023-04-19T11:00:00+05:30	1119.55	1123.15	1119.55	1122.1	1330356	60
2023-04-19T12:00:00+05:30	1122.1	1123.75	1119.6	1120.1	1467270	60
2023-04-19T13:00:00+05:30	1120.1	1120.4	1114.8	1115.95	1994148	60
2023-04-19T14:00:00+05:30	1116.2	1119.15	1115.25	1118.1	1195202	60
2023-04-19T15:00:00+05:30	1118.0	1122.85	1117.8	1119.45	1722286	30
2023-04-20T09:00:00+05:30	1122.0	1124.05	1116.6	1116.6	1214546	45
2023-04-20T10:00:00+05:30	1116.6	1118.6	1111.9	1114.05	1212426	60
2023-04-20T11:00:00+05:30	1114.05	1117.85	1112.4	1117.4	1553600	60
2023-04-20T12:00:00+05:30	1117.2	1118.05	1114.8	1116.2	573428	60
2023-04-20T13:00:00+05:30	1116.25	1116.25	1112.85	1113.8	634156	60
2023-04-20T14:00:00+05:30	1113.8	1116.9	1113.3	1115.7	607168	60
2023-04-20T15:00:00+05:30	1115.9	1119.5	1115.25	1117.6	905294	30
2023-04-21T09:00:00+05:30	1120.3	1122.4	1116.5	1118.35	1302724	45
2023-04-21T10:00:00+05:30	1118.2	1119.5	1114.0	1115.7	920520	60
2023-04-21T11:00:00+05:30	1115.7	1119.9	1115.7	1118.45	887504	60
2023-04-21T12:00:00+05:30	1118.4	1118.5	1116.2	1117.8	509978	60
2023-04-21T13:00:00+05:30	1117.75	1120.0	1116.2	1118.8	589078	60
2023-04-21T14:00:00+05:30	1119.35	1125.2	1118.8	1121.85	1827954	60
2023-04-21T15:00:00+05:30	1121.95	1122.4	1118.2	1120.0	1303596	30
2023-04-24T09:00:00+05:30	1131.9	1134.7	1121.3	1123.55	4448386	45
2023-04-24T10:00:00+05:30	1123.65	1126.7	1121.9	1124.75	930812	60
2023-04-24T11:00:00+05:30	1124.5	1124.7	1119.05	1120.75	1295976	60
2023-04-24T12:00:00+05:30	1120.8	1124.5	1120.65	1122.5	968898	60
2023-04-24T13:00:00+05:30	1122.5	1124.7	1121.2	1121.25	1023486	60
2023-04-24T14:00:00+05:30	1121.25	1124.1	1120.9	1123.35	1468024	60
2023-04-24T15:00:00+05:30	1123.35	1126.0	1122.25	1125.0	2016496	30
2023-04-25T09:00:00+05:30	1127.6	1128.6	1122.5	1122.9	1414918	45
